id1,id2,time1,time2,corr
s4,s2,673,661,0.8832550539894624
s7,s8,1201,1177,-0.8444549239479849
s3,s1,1297,1249,-0.8113646152316812
s2,s2,1897,1861,0.9360858303059046
s4,s4,133,145,0.8078207079998692
s6,s4,1753,1789,-0.9520678234205178
s4,s3,1177,1201,-0.9289564254795152
s7,s8,1141,1093,-0.9163142202297804
s2,s4,493,517,-0.9387987063293862
s2,s8,721,745,0.9642451827357795
s3,s3,1309,1273,0.9294597091808717
s2,s2,1513,1525,-0.9656848040396926
s1,s1,709,685,0.93893676668752
s1,s2,469,445,0.9699026984873971
s3,s6,1873,1873,0.8131439916030166
s1,s7,1837,1801,-0.8168182486375996
s2,s2,1645,1657,0.9471949675622561
s3,s8,1117,1081,-0.9040200799134238
s4,s4,1561,1609,0.9007383122375882
s2,s3,901,949,0.8785601307254269
s3,s8,1753,1705,-0.8801964905902838
s6,s5,1765,1789,-0.8143219428060463
s5,s6,1393,1381,0.9166858758247795
s6,s1,133,97,0.8407591077793011
s8,s2,841,829,0.9307628095665992
s8,s3,1297,1333,-0.8953350780438991
s7,s2,625,673,-0.913409259510711
s4,s5,541,505,-0.9920730658790547
s1,s4,157,181,-0.850405499457756
s3,s2,1129,1105,0.8109656474131437
s7,s2,457,481,0.9462980707862395
s8,s4,289,277,-0.9551063779803841
s4,s5,541,589,0.976605911322823
s2,s1,733,757,-0.9608870838193199
s8,s7,229,265,0.9146658045346339
s5,s8,1621,1621,0.9649444258867669
s8,s6,1465,1417,0.9415967816238134
s4,s8,625,649,0.9657535827662183
s6,s4,229,265,0.8693742071003903
s1,s8,349,313,-0.8933003794891019
s7,s8,325,325,-0.8646652202695625
s7,s4,457,493,-0.8398570277072327
s6,s7,613,577,0.9873655233361275
s4,s1,349,301,0.813338670625395
s2,s3,553,505,-0.8599849486353954
s1,s5,1393,1441,0.8775424540385891
s3,s5,1429,1453,0.941140894668148
s2,s2,1417,1417,-0.9458745227732376
s4,s3,901,901,0.9148136120751685
s3,s4,805,805,0.9536689628000115
s7,s6,793,841,0.9021374722757582
s5,s1,1345,1333,-0.9081818716788659
s1,s2,325,349,0.8214862125309854
s6,s1,985,997,-0.8616986348954417
s4,s5,1741,1693,0.8870978705331767
s1,s3,253,289,-0.9293835745361503
s6,s1,397,409,0.9908988942807033
s6,s6,1345,1333,0.8857735735557875
s4,s2,1561,1585,0.8618952445777731
s8,s1,1201,1165,-0.8119829614420754
s7,s5,829,853,0.9968551967211121
s5,s6,241,217,-0.9237585698186191
s1,s6,289,325,0.9788981496559674
s5,s2,565,529,0.9800306294792073
